"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 1, 'train_acc': 0.0987, 'test_acc': 0.098, 'train_loss': 14.3053, 'test_loss': 14.3267}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 2, 'train_acc': 0.0993, 'test_acc': 0.1032, 'train_loss': 9.1636, 'test_loss': 9.2197}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 3, 'train_acc': 0.1044, 'test_acc': 0.1028, 'train_loss': 8.2812, 'test_loss': 8.3703}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 4, 'train_acc': 0.1124, 'test_acc': 0.1135, 'train_loss': 13.1648, 'test_loss': 13.1762}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 5, 'train_acc': 0.1504, 'test_acc': 0.1552, 'train_loss': 7.1497, 'test_loss': 7.2417}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 6, 'train_acc': 0.0974, 'test_acc': 0.0982, 'train_loss': 13.2594, 'test_loss': 13.2879}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 7, 'train_acc': 0.2149, 'test_acc': 0.2114, 'train_loss': 2.8931, 'test_loss': 2.9127}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 8, 'train_acc': 0.0986, 'test_acc': 0.0958, 'train_loss': 12.542, 'test_loss': 12.6474}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 9, 'train_acc': 0.0904, 'test_acc': 0.0892, 'train_loss': 12.5426, 'test_loss': 12.6488}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 10, 'train_acc': 0.0993, 'test_acc': 0.1032, 'train_loss': 6.5098, 'test_loss': 6.56}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 11, 'train_acc': 0.1044, 'test_acc': 0.1028, 'train_loss': 5.8127, 'test_loss': 5.8604}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 12, 'train_acc': 0.0986, 'test_acc': 0.0958, 'train_loss': 5.8261, 'test_loss': 5.9704}"
"{'C': 0.0, 'B': 600, 'learning_rate': 0.215, 'comm_round': 13, 'train_acc': 0.1036, 'test_acc': 0.1064, 'train_loss': 5.6382, 'test_loss': 5.6749}"
