"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 1, 'train_acc': 0.9208, 'test_acc': 0.9308, 'train_loss': 0.3262, 'test_loss': 0.2804}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 2, 'train_acc': 0.9277, 'test_acc': 0.9341, 'train_loss': 0.3189, 'test_loss': 0.2852}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 3, 'train_acc': 0.9524, 'test_acc': 0.9554, 'train_loss': 0.2084, 'test_loss': 0.1896}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 4, 'train_acc': 0.9578, 'test_acc': 0.9593, 'train_loss': 0.1847, 'test_loss': 0.1692}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 5, 'train_acc': 0.9582, 'test_acc': 0.9644, 'train_loss': 0.2019, 'test_loss': 0.1584}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 6, 'train_acc': 0.9623, 'test_acc': 0.966, 'train_loss': 0.1882, 'test_loss': 0.1658}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 7, 'train_acc': 0.9649, 'test_acc': 0.9676, 'train_loss': 0.1824, 'test_loss': 0.1563}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 8, 'train_acc': 0.9614, 'test_acc': 0.9631, 'train_loss': 0.2212, 'test_loss': 0.2077}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 9, 'train_acc': 0.963, 'test_acc': 0.965, 'train_loss': 0.2116, 'test_loss': 0.1967}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 10, 'train_acc': 0.9685, 'test_acc': 0.9706, 'train_loss': 0.1506, 'test_loss': 0.1399}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 11, 'train_acc': 0.9698, 'test_acc': 0.9687, 'train_loss': 0.1483, 'test_loss': 0.1504}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 12, 'train_acc': 0.9688, 'test_acc': 0.9706, 'train_loss': 0.1775, 'test_loss': 0.1683}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 13, 'train_acc': 0.9668, 'test_acc': 0.9669, 'train_loss': 0.1873, 'test_loss': 0.1786}"
"{'C': 0.0, 'B': 10, 'learning_rate': 0.215, 'comm_round': 14, 'train_acc': 0.9717, 'test_acc': 0.9725, 'train_loss': 0.1404, 'test_loss': 0.1186}"
